RegionName,State,Metro,CountyName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Last 12 Month Avg
Dallas,TX,Dallas-Fort Worth,Dallas,8,895,785,830,800,800,841,850,770,750,725,750,716,695,700,757,756,850,850,795,724,749,750,825,852.5,850,800,846,874,798,800,850,850,899,950,950,982.5,974,945,945,955,952.5,1036,1035,1044.5,1000,1058,1089,1033,1050,1004,1000,1070,1050,1045,1141,1150,1015,995,1059.5,1050,1000,1000,1022.5,1121,1150,1050,1103,1094.5,1097,1150,1165.5,1117,1172.5,1182,1172,1165,1165,1170,1190,1230,1239,1176.5
Plano,TX,Dallas-Fort Worth,Collin,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1345,1325,1350,1375,1350,1350,1390,1395,1472.5,1450,1450,1400,1420,1495,1450,1437.5,1495,1475,1475,1450,1462.5,1495,1495,1495,1450,1450,1525,1500,1495,1550,1550,1550,1595,1525,1550,1550,1595,1575,1595,1575,1575,1580,1600,1625,1645,1600,1588.75
Granbury,TX,Dallas-Fort Worth,Hood,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1225,1100,1100,1150,1200,1100,1150,1197.5,1195,1172.5,1200,1200,1200,1095,1150,1200,1200,1195,1197.5,1200,1195,1250,1212.5,1200,1195,1200,1200,1200,1200,1300,1250,1200,1350,1250,1250,1200,1250,1250,1195,1195,1200,1150,1200,1250,1300,1300,1250,1172.5,1200,1225,1250,1224.375
All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.875
