airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
34392445,9.8,191,1.0,Cozy private room in Frisco,1,2,https://a0.muscache.com/im/pictures/d2c97ed7-8ec0-45f4-84f6-d1bd7d1ce997.jpg?aki_policy=x_large,47,-96.79028,33.13713,25.9943,House,Private room,https://www.airbnb.com/rooms/34392445,1,Frisco
38516537,9.5,343,1.0,The Star Ford Center King Bed Best Pool Lux Home,1,5,https://a0.muscache.com/im/pictures/miso/Hosting-38516537/original/4881d5a4-371f-404c-bbe4-d44709dd668c.jpeg?aki_policy=x_large,82,-96.82986,33.11508,152.478,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38516537,1,Frisco
1004297185,0.0,167,2.0,Kasa | Frisco | Luxurious 2BD/2BA Apartment,2,6,https://odis.homeaway.com/odis/listing/e1bf0d8d-e38a-4f52-a8c2-0bc3228938f4.c10.jpg,0,-96.821243,33.098873,152.619,apartment,Entire home/apt,https://www.airbnb.com/rooms/1004297185,1,Frisco
29996237,9.4,2,2.0,Beautiful Home Centrally Located Historic Frisco,3,7,https://a0.muscache.com/im/pictures/391b1fdd-a9ed-45e1-823c-8cb0a7292822.jpg?aki_policy=x_large,11,-96.82045,33.14684,174.0,House,Entire home/apt,https://www.airbnb.com/rooms/29996237,1,Frisco
38608846,9.9,191,1.0,My Cozy Place,1,2,https://a0.muscache.com/im/pictures/f892231a-bdd3-4a84-9084-d230362eafe2.jpg?aki_policy=x_large,15,-96.81412,33.10543,126.853,Apartment,Entire home/apt,https://www.airbnb.com/rooms/38608846,1,Frisco
35158959,10.0,61,1.0,The Peaceful Getaway room!,1,2,https://a0.muscache.com/im/pictures/7e9ebf3a-ab1a-49d6-a970-5c53194a7aba.jpg?aki_policy=x_large,1,-96.78057,33.13485,45.0,House,Private room,https://www.airbnb.com/rooms/35158959,1,Frisco
45778437,,28,2.0,2 bedroom2bath FurnishedApt-StoneBriar Mall Frisco,2,5,https://a0.muscache.com/im/pictures/70bb7603-7329-48dc-bac9-ee4381ac4f7d.jpg?aki_policy=x_large,0,-96.8224,33.09958,128.429,Home/apt,Entire home/apt,https://www.airbnb.com/rooms/45778437,1,Frisco
23896737,9.9,254,1.0,Comfy queen-sized bedroom with private bath,1,2,https://a0.muscache.com/im/pictures/0c7721df-c6eb-4512-987a-ee553ae1209e.jpg?aki_policy=x_large,88,-96.86926,33.18088,31.556,House,Private room,https://www.airbnb.com/rooms/23896737,1,Frisco
17901662,10.0,113,1.0,Audrey Faye = Ultimate Glamping,0,3,https://a0.muscache.com/im/pictures/cdd5557c-9ff6-4660-96ea-376b4e906f06.jpg?aki_policy=x_large,1,-96.93358,33.12625,180.0,Tiny house,Entire home/apt,https://www.airbnb.com/rooms/17901662,1,Frisco
31667018,,29,1.5,"All included! Furnished Private room, shared bath",1,1,https://a0.muscache.com/im/pictures/bf27b5f5-f97c-46f2-8d24-c5b6cd305b9c.jpg?aki_policy=x_large,0,-96.91681,33.14352,83.0,House,Private room,https://www.airbnb.com/rooms/31667018,1,Frisco
1003334001,0.0,193,2.0,4 Bedroom / 2 Bath - Fully Furnished Home - TCH,4,6,https://odis.homeaway.com/odis/listing/f4b89993-3e94-4995-add8-1247a36397af.c10.jpg,0,-96.83264241,33.13031562,185.141,house,Entire home/apt,https://www.airbnb.com/rooms/1003334001,1,Frisco
