airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
36911149,10.0,122,2.0,C01. Single guest only! LOWEST Cost Private Room,1,1,https://a0.muscache.com/im/pictures/8de0fed1-bc26-477e-a14d-5eafd2751376.jpg?aki_policy=x_large,1,-97.02891,32.68062,27.4348,House,Private room,https://www.airbnb.com/rooms/36911149,1,Grand Prairie
32914153,10.0,127,2.0,Prairie Rose,3,6,https://a0.muscache.com/im/pictures/fea46d83-594a-4a9a-9af9-2ce6236e7d4a.jpg?aki_policy=x_large,9,-96.99022,32.75387,176.947,House,Entire home/apt,https://www.airbnb.com/rooms/32914153,1,Grand Prairie
40928340,7.9,181,2.0,3Bedroom 2King1Queen Beautiful& Spacious Townhome,3,10,https://a0.muscache.com/im/pictures/5a25ab10-b899-480c-ac4e-7fc28995c2b5.jpg?aki_policy=x_large,16,-97.03743,32.68437,139.24,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/40928340,1,Grand Prairie
22482638,9.8,10,1.0,Home Close to Events-Airport Shuttle,1,2,https://a0.muscache.com/im/pictures/7c7dea11-e855-4360-aa65-7d574f269b02.jpg?aki_policy=x_large,220,-97.02392,32.76312,29.8,House,Private room,https://www.airbnb.com/rooms/22482638,1,Grand Prairie
43069760,10.0,170,1.0,"Spacious Queen Bed, WIFI, Gym, Parking",1,2,https://a0.muscache.com/im/pictures/8e783c76-34cf-4a05-8f79-74e7dab53b7d.jpg?aki_policy=x_large,11,-97.05078,32.58317,48.2605,House,Private room,https://www.airbnb.com/rooms/43069760,1,Grand Prairie
34175506,9.0,43,1.5,Beautiful Private Room /Grand Prairie/ Only Female,1,2,https://a0.muscache.com/im/pictures/ace8658b-d99d-4235-97d8-fca910cece24.jpg?aki_policy=x_large,6,-97.02328,32.64551,20.0,House,Private room,https://www.airbnb.com/rooms/34175506,1,Grand Prairie
16722473,9.4,261,2.0,Centrally located home away from home,3,8,https://a0.muscache.com/im/pictures/088eabc6-a8c8-4dbb-9a6d-f079a6b3055f.jpg?aki_policy=x_large,126,-96.98909,32.753,129.342,House,Entire home/apt,https://www.airbnb.com/rooms/16722473,1,Grand Prairie
43038702,9.6,138,1.0,Newly Renovated Large Studio Apartment/ Balcony,1,3,https://a0.muscache.com/im/pictures/ac6c6322-b598-470e-88a3-259aa8bbe5ed.jpg?aki_policy=x_large,49,-97.03567,32.76841,76.4867,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43038702,1,Grand Prairie
24662141,10.0,108,1.5,The Manor''s Rest and Relaxation guest quarters,1,2,https://a0.muscache.com/im/pictures/0df1b286-0bc3-4093-81ad-5847f7e79dfb.jpg?aki_policy=x_large,9,-97.03667,32.64153,56.7316,House,Private room,https://www.airbnb.com/rooms/24662141,1,Grand Prairie
32086271,9.9,349,1.0,Grand Treehouse close to Cowboys and Six Flags,3,10,https://a0.muscache.com/im/pictures/52c63c9e-ea4d-4565-ac4a-8654f328e940.jpg?aki_policy=x_large,24,-97.01466,32.75469,435.393,House,Entire home/apt,https://www.airbnb.com/rooms/32086271,1,Grand Prairie
44556518,,31,2.0,2bd/2bth Furnished King bed- 1st flr(ARLGP66-B),2,5,https://a0.muscache.com/im/pictures/miso/Hosting-44556518/original/ca10bee9-dee9-43c5-8415-c8409730c2fd.jpeg?aki_policy=x_large,0,-97.06106,32.76879,84.0,Condominium,Entire home/apt,https://www.airbnb.com/rooms/44556518,1,Grand Prairie
45775993,,31,2.0,College Dorm House_352House,1,6,https://a0.muscache.com/im/pictures/7884cd64-6953-46d7-b740-2b73c65f16ff.jpg?aki_policy=x_large,0,-97.00426,32.80098,20.0,House,Shared room,https://www.airbnb.com/rooms/45775993,1,Grand Prairie
41927918,10.0,10,2.0,GP-B-Arlington 2bd/2ba Furnished King Bed 1stFlr,2,5,https://a0.muscache.com/im/pictures/7df05525-3622-4773-b29b-fcdf8baa1711.jpg?aki_policy=x_large,1,-97.0618,32.7667,85.0,Condominium,Entire home/apt,https://www.airbnb.com/rooms/41927918,1,Grand Prairie
20484378,10.0,98,1.0,"Private 2nd floor Loft: 2Rms,1Bth,Gym,opt 2nd bdrm",1,2,https://a0.muscache.com/im/pictures/9f97e3eb-9143-4454-9fa5-48ea181be446.jpg?aki_policy=x_large,1,-97.03905,32.65405,58.9509,Guest suite,Entire home/apt,https://www.airbnb.com/rooms/20484378,1,Grand Prairie
39591501,9.9,361,2.0,Luxury House Dallas DFW AT&T Globe Life Field,3,12,https://a0.muscache.com/im/pictures/miso/Hosting-39591501/original/23a4f428-e524-4fab-9be8-37da5eb35987.jpeg?aki_policy=x_large,58,-97.036,32.694,207.589,House,Entire home/apt,https://www.airbnb.com/rooms/39591501,1,Grand Prairie
37288744,9.7,277,2.0,Spacious Game Room Pool Table! Sparkling Clean!,3,8,https://a0.muscache.com/im/pictures/9cf183bc-aedf-42de-9fba-c5589c21264f.jpg?aki_policy=x_large,76,-96.99452,32.70363,134.338,House,Entire home/apt,https://www.airbnb.com/rooms/37288744,1,Grand Prairie
45171919,10.0,61,2.5,Beautiful & Spacious 3 Bedroom Home Getaway,3,8,https://a0.muscache.com/im/pictures/5c2d6b1a-e9cf-4fe7-bf78-b6d1935568f7.jpg?aki_policy=x_large,1,-97.0555,32.65254,317.4,House,Entire home/apt,https://www.airbnb.com/rooms/45171919,1,Grand Prairie
21037650,,174,1.0,Centrally located. Close to airport.,1,3,https://a0.muscache.com/im/pictures/3bddafeb-72a9-4638-b1a0-32349a8ce739.jpg?aki_policy=x_large,0,-97.06125,32.62361,99.0,House,Private room,https://www.airbnb.com/rooms/21037650,1,Grand Prairie
42473037,10.0,214,1.0,Private room by Cowboys Stadium and Six Flags!,1,4,https://a0.muscache.com/im/pictures/12e37ae6-3c88-4559-bb57-0d1cfc94de82.jpg?aki_policy=x_large,3,-97.05133,32.7287,77.2956,Apartment,Private room,https://www.airbnb.com/rooms/42473037,1,Grand Prairie
25902859,10.0,18,2.0,Cozy Home Near AT&T Stadium,3,8,https://a0.muscache.com/im/pictures/6c209eb3-cef7-4e88-9e78-5268eba73623.jpg?aki_policy=x_large,18,-97.03879,32.66533,163.889,House,Entire home/apt,https://www.airbnb.com/rooms/25902859,1,Grand Prairie
19122325,9.8,236,2.5,Beautiful Waterfront Townhouse near AT&T Stadium,3,8,https://a0.muscache.com/im/pictures/63dde891-e0e0-490b-bc65-5e2cc918b2cf.jpg?aki_policy=x_large,86,-97.01975,32.6421,174.735,House,Entire home/apt,https://www.airbnb.com/rooms/19122325,1,Grand Prairie
1011629526,10.0,85,2.0,Large Home/Slp 16+/Fireplace/Deck/By 6 Flags/DFW,4,16,https://odis.homeaway.com/odis/listing/b649ce3f-288a-48bb-a8e1-efb2e96bbdc3.c10.jpg,1,-97.0330179383453,32.7688699854689,320.906,house,Entire home/apt,https://www.airbnb.com/rooms/1011629526,1,Grand Prairie
41396747,9.0,276,2.0,3Bedroom Townhome W No Shared Walls & Free Parking,3,8,https://a0.muscache.com/im/pictures/09a93ff3-f3cb-484f-9862-76de2ee148e1.jpg?aki_policy=x_large,35,-97.0299,32.68363,179.625,Townhouse,Entire home/apt,https://www.airbnb.com/rooms/41396747,1,Grand Prairie
34842148,9.3,361,2.5,NEWLY RENOVATED! Two Story Home in GP/Arlington,4,10,https://a0.muscache.com/im/pictures/8e826bfa-a053-4291-8c2c-d5758c4c10c2.jpg?aki_policy=x_large,52,-97.05105,32.68708,218.915,House,Entire home/apt,https://www.airbnb.com/rooms/34842148,1,Grand Prairie
