airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,adr,img_cover,reviews,longitude,latitude,days_available,room_type,airbnb_url,active_listing,market
32014476,9.9,Guesthouse,1.0,East Plano Private Guest Suite,0,4,82.7765,https://a0.muscache.com/im/pictures/4e031e30-9ca7-4d55-aaa3-12d33ec9df68.jpg?aki_policy=x_large,131,-96.69421,33.0255,225,Entire home/apt,https://www.airbnb.com/rooms/32014476,1,Plano
33193982,9.0,Apartment,1.0,Kasa | Plano | Modern 1BD/1BA Apartment,1,4,117.63799999999999,https://a0.muscache.com/im/pictures/ca65ef20-d85d-45ad-8dc6-3388c6bd1b4f.jpg?aki_policy=x_large,14,-96.82311,33.0757,163,Entire home/apt,https://www.airbnb.com/rooms/33193982,1,Plano
29394842,9.6,House,1.0,Master Suite at The Sanctuary House in Plano. TX,1,1,41.809,https://a0.muscache.com/im/pictures/5b268b50-12b6-4174-8f8d-4cbc4d271396.jpg?aki_policy=x_large,18,-96.72407,33.058859999999996,154,Private room,https://www.airbnb.com/rooms/29394842,1,Plano
39581262,9.9,House,3.5,Family-friendly 5 BD w/ Pool in Golf Course Comm,5,12,415.601,https://a0.muscache.com/im/pictures/f75fbd99-cc65-4c69-9638-a25dc0f9eae3.jpg?aki_policy=x_large,31,-96.70081,33.07656,300,Entire home/apt,https://www.airbnb.com/rooms/39581262,1,Plano
19015640,9.9,House,4.5,HotTub 4.5 bath GAME ROOM Arcade Games NO PARTIES,5,16,380.827,https://a0.muscache.com/im/pictures/d95a3379-d0f4-4e80-906d-df0bc86e5cf1.jpg?aki_policy=x_large,119,-96.66999,33.03974,339,Entire home/apt,https://www.airbnb.com/rooms/19015640,1,Plano
45512168,,House,1.0,Comfy guest suite in gorgeous home,1,2,50.5289,https://a0.muscache.com/im/pictures/e8845333-9985-4ef8-8504-5b9b0cf799f2.jpg?aki_policy=x_large,0,-96.766,33.042,31,Private room,https://www.airbnb.com/rooms/45512168,1,Plano
45773026,,Townhouse,2.5,Private Townhome in the Heart of Plano! (CDC Safe),3,8,219.947,https://a0.muscache.com/im/pictures/miso/Hosting-45773026/original/a24efaa3-c542-4fd7-bb2e-e2b70654f4c3.jpeg?aki_policy=x_large,0,-96.81929000000001,33.0768,31,Entire home/apt,https://www.airbnb.com/rooms/45773026,1,Plano
28243114,9.5,House,2.0,Renovated Spacious House in the Heart of West Plano,4,8,171.72099999999998,"https://a0.muscache.com/4ea/air/v2/pictures/54a8f05a-8d6a-4b0d-b853-f149d372ef41.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",24,-96.72111,33.01719,106,Entire home/apt,https://www.airbnb.com/rooms/28243114,1,Plano
20944184,8.8,House,2.0,Beautiful furnished House-Plano Oasis Backyard/4BD,4,6,250.0,https://a0.muscache.com/im/pictures/d07832f8-c2e2-4767-be9a-e8dabddab1a5.jpg?aki_policy=x_large,12,-96.73647,33.036559999999994,31,Entire home/apt,https://www.airbnb.com/rooms/20944184,1,Plano
1003800828,0.0,house,2.0,Enjoy a safe a clean home,4,6,131.358,https://odis.homeaway.com/odis/listing/b4dfda21-25fb-4b79-952e-d755ae753edf.c10.jpg,0,-96.72766342,33.01270081,296,Entire home/apt,https://www.airbnb.com/rooms/1003800828,1,Plano
29390752,8.8,Townhouse,1.0,B-Double & twin bed guest room in central Plano,1,3,37.8154,https://a0.muscache.com/im/pictures/0c3850ed-8d8e-4b19-84a8-a505bf2ff8c2.jpg?aki_policy=x_large,51,-96.76799999999999,33.028,89,Private room,https://www.airbnb.com/rooms/29390752,1,Plano
37622835,,Townhouse,2.5,Accommodating Guest affected by the Hurricane,3,8,283.786,https://a0.muscache.com/im/pictures/75b7ae5c-a020-444e-8ce1-9ffc5c480f1d.jpg?aki_policy=x_large,0,-96.81789,33.07738,61,Entire home/apt,https://www.airbnb.com/rooms/37622835,1,Plano
38150268,9.3,Apartment,1.5,Kasa | Plano | Comfy 2BD/1.5BA Apartment,2,5,135.043,https://a0.muscache.com/im/pictures/193b768e-d0cb-46ca-8420-ac7d3685af67.jpg?aki_policy=x_large,15,-96.8224,33.07396,225,Entire home/apt,https://www.airbnb.com/rooms/38150268,1,Plano
44233465,9.8,House,2.0,Pristine West Plano Cottage,3,6,168.575,https://a0.muscache.com/im/pictures/6b4def92-ac9d-4aa0-8ddf-cdca908a4765.jpg?aki_policy=x_large,8,-96.79021,33.04947,67,Entire home/apt,https://www.airbnb.com/rooms/44233465,1,Plano
23497209,10.0,Townhouse,2.0,Spacious whole floor and room with 2 private baths,2,6,207.5,https://a0.muscache.com/im/pictures/e66d229e-9791-4d7a-9bcf-5e1c97427e3f.jpg?aki_policy=x_large,1,-96.82111,33.0852,122,Private room,https://www.airbnb.com/rooms/23497209,1,Plano
39723437,10.0,House,1.0,Very clean & quite neighborhood,2,1,35.83,https://a0.muscache.com/im/pictures/90230c39-e796-4589-8b03-1c2fdf824473.jpg?aki_policy=x_large,1,-96.65791,33.01785,151,Private room,https://www.airbnb.com/rooms/39723437,1,Plano
45423977,10.0,Apartment,1.0,Modern Studio Downtown,1,2,94.2956,https://a0.muscache.com/im/pictures/6a77e737-dcfa-4d15-a650-87b3d781d417.jpg?aki_policy=x_large,2,-96.70106,33.01916,50,Entire home/apt,https://www.airbnb.com/rooms/45423977,1,Plano
44536411,8.0,House,1.5,Honeycomb Haven,1,2,37.75,https://a0.muscache.com/im/pictures/8b7c5825-1d81-4179-80ff-aa4b26b0027f.jpg?aki_policy=x_large,2,-96.6741,33.02348,17,Private room,https://www.airbnb.com/rooms/44536411,1,Plano
29797756,9.8,House,1.0,Peaceful and Quiet Creekside Room in Plano,1,1,44.7921,https://a0.muscache.com/im/pictures/3bf28123-cdc6-40b7-9d01-3187ea410f29.jpg?aki_policy=x_large,34,-96.715,33.032,226,Private room,https://www.airbnb.com/rooms/29797756,1,Plano
1003829474,0.0,condo,1.0,"Cozy King Suite | Seasonal Outdoor Pool, 24-Hour Business Center and Fitness Center",1,2,144.491,https://odis.homeaway.com/odis/listing/46f5c028-37b2-42ad-ba8e-2e6234cacecc.c10.jpg,0,-96.815376,33.089805,203,Entire home/apt,https://www.airbnb.com/rooms/1003829474,1,Plano
45850034,,Apartment,1.0,Legacy West | Plano | Luxury 1 BR | Pool View,1,4,87.7778,https://a0.muscache.com/im/pictures/d15dd375-4a71-491d-b90f-a5ea2a281264.jpg?aki_policy=x_large,0,-96.82807,33.0807,24,Entire home/apt,https://www.airbnb.com/rooms/45850034,1,Plano
45304044,8.0,Condominium,2.0,Gorgeous TOP Floor Downtown Suite. Walk to DART.,2,5,156.0,https://a0.muscache.com/im/pictures/miso/Hosting-45304044/original/fe083d0b-56dd-4645-8457-5c1a13548bff.jpeg?aki_policy=x_large,1,-96.70539000000001,33.02036,31,Entire home/apt,https://www.airbnb.com/rooms/45304044,1,Plano
28939370,9.6,House,1.0,"Spacious 1 BR in Plano TX, Prominent Neighborhood",1,1,39.8064,https://a0.muscache.com/im/pictures/87c876dc-4455-4fc2-951b-aef5e47f6958.jpg?aki_policy=x_large,10,-96.65725,33.06346,31,Private room,https://www.airbnb.com/rooms/28939370,1,Plano
43258678,,Serviced apartment,2.0,Comfortable place to call home | 2BR in Plano,2,5,42.0,https://a0.muscache.com/im/pictures/763c5e67-fcfa-4e71-9bdb-a1c981061a4c.jpg?aki_policy=x_large,0,-96.75299999999999,33.024,31,Entire home/apt,https://www.airbnb.com/rooms/43258678,1,Plano
1003904041,0.0,apartment,1.0,Legacy West|Corporate|1Bedroom|Retail View,1,2,105.63,https://odis.homeaway.com/odis/listing/5d0bcd0f-55ac-45fe-8151-a19fac069e0c.c10.jpg,0,-96.82777583,33.07743226,150,Entire home/apt,https://www.airbnb.com/rooms/1003904041,1,Plano
11463056,10.0,House,1.0,Elegance in Plano!,1,2,200.0,https://a0.muscache.com/im/pictures/4f09dae6-5724-430f-829b-a084d47c8227.jpg?aki_policy=x_large,1,-96.75865999999999,33.05625,153,Private room,https://www.airbnb.com/rooms/11463056,1,Plano
1003398590,10.0,apartment,1.0,Legacy West Windrose|Corporate|1 Bedroom|City View,1,2,131.0,https://odis.homeaway.com/odis/listing/3aed6b2f-6f26-497a-be1d-4f9b3d695c3b.c10.jpg,1,-96.82482291,33.08862929,267,Entire home/apt,https://www.airbnb.com/rooms/1003398590,1,Plano
45038910,9.6,House,2.5,Entire house Big Safe clean 6BE/2.5BA Plano,6,16,252.71,https://a0.muscache.com/im/pictures/miso/Hosting-45038910/original/93716e95-5a75-48ab-94cd-425e3df22d25.jpeg?aki_policy=x_large,5,-96.77209,33.08963,76,Entire home/apt,https://www.airbnb.com/rooms/45038910,1,Plano
38550187,8.8,House,3.5,5 Bedroom Luxurious West Plano Home!,5,14,381.289,https://a0.muscache.com/im/pictures/71262263-202a-4a07-9108-2611f3e5c02c.jpg?aki_policy=x_large,27,-96.85486,33.06451,304,Entire home/apt,https://www.airbnb.com/rooms/38550187,1,Plano
41902554,9.7,House,2.5,Modern Home-King Master-Gaming Galore-Pool,4,10,284.28700000000003,https://a0.muscache.com/im/pictures/41c5349d-0e54-490b-97d7-f2856a9a3159.jpg?aki_policy=x_large,29,-96.74611999999999,33.02848,229,Entire home/apt,https://www.airbnb.com/rooms/41902554,1,Plano
16767522,9.7,Townhouse,2.5,"Quiet, clean and cozy townhouse in Plano",4,8,107.212,https://a0.muscache.com/im/pictures/72320d78-19c3-4a13-8476-53c7a8f6ef5d.jpg?aki_policy=x_large,65,-96.6816,33.05897,95,Entire home/apt,https://www.airbnb.com/rooms/16767522,1,Plano
40291852,10.0,House,1.0,Women Only Private Fourth Bedroom,1,1,23.0,https://a0.muscache.com/im/pictures/7cfc723e-8019-403d-a20a-42d2490edaad.jpg?aki_policy=x_large,4,-96.67928,33.02421,242,Private room,https://www.airbnb.com/rooms/40291852,1,Plano
27808599,9.8,House,1.0,West Plano Excellent Room - Private Home,1,2,35.3333,https://a0.muscache.com/im/pictures/bc5168fd-8a7e-4ba5-ba52-3558dc3b982a.jpg?aki_policy=x_large,29,-96.76512,33.0764,122,Private room,https://www.airbnb.com/rooms/27808599,1,Plano
31525254,8.0,Villa,1.5,Cozy Room in East Plano Quite Neighbourhood,1,2,28.0,https://a0.muscache.com/im/pictures/8c657f8a-8fba-43e2-b17b-465887adbb30.jpg?aki_policy=x_large,2,-96.64305,33.03311,23,Private room,https://www.airbnb.com/rooms/31525254,1,Plano
45119963,,Serviced apartment,1.0,Upscale 1BR w/ hotel-like amenities in Richardson,1,3,49.0,https://a0.muscache.com/im/pictures/ab1fd4d4-7ccc-43f4-b497-3a1c23b84b18.jpg?aki_policy=x_large,0,-96.706,33.001999999999995,31,Entire home/apt,https://www.airbnb.com/rooms/45119963,1,Plano
45314616,10.0,Townhouse,3.5,Comfortable Chic | Long Term | Legacy,4,6,221.803,https://a0.muscache.com/im/pictures/miso/Hosting-45314616/original/ad0416b2-71bf-4f19-907f-9bc709829f30.jpeg?aki_policy=x_large,1,-96.81947,33.08647,21,Entire home/apt,https://www.airbnb.com/rooms/45314616,1,Plano
41129506,10.0,House,4.5,Ultra Luxurious Private Oasis & Bamboo Garden,4,8,125.0,https://a0.muscache.com/im/pictures/bd5065ea-cbcc-4cfb-928e-6a7332e6812e.jpg?aki_policy=x_large,5,-96.75171,33.04714,119,Entire home/apt,https://www.airbnb.com/rooms/41129506,1,Plano
1003147827,10.0,apartment,1.0,Legacy West|Corporate|1 Bedroom|Balcony,1,2,120.796,https://odis.homeaway.com/odis/listing/36e097ed-f79c-4801-b5d9-3f72d8fd58d5.c10.jpg,9,-96.82762032,33.08417868,217,Entire home/apt,https://www.airbnb.com/rooms/1003147827,1,Plano
45165899,10.0,House,1.0,Plano Home in Beautiful Neighborhood,1,2,27.4324,https://a0.muscache.com/im/pictures/b5e21ebb-a600-4023-96df-f0533462631e.jpg?aki_policy=x_large,1,-96.7533,33.07373,39,Private room,https://www.airbnb.com/rooms/45165899,1,Plano
23597528,,House,1.0,"Great huge place for people close to US75, 121,etc",1,4,79.0296,https://a0.muscache.com/im/pictures/342a652d-3b29-4bbf-b658-8df79c3b0ae8.jpg?aki_policy=x_large,0,-96.73346,33.075559999999996,20,Private room,https://www.airbnb.com/rooms/23597528,1,Plano
37592880,9.6,Townhouse,3.5,Modern 3 Bedroom House at Shops at Legacy,3,8,186.96,https://a0.muscache.com/im/pictures/ac1a4623-28ba-46be-ad37-6b87f2bece7c.jpg?aki_policy=x_large,5,-96.81824,33.08435,99,Entire home/apt,https://www.airbnb.com/rooms/37592880,1,Plano
45242926,10.0,House,1.5,Private Spacious Clean room3 @Safe community Plano,1,3,31.5675,https://a0.muscache.com/im/pictures/miso/Hosting-43117518/original/e788aa05-8156-4166-8a46-0fe1dbf596fe.jpeg?aki_policy=x_large,1,-96.77548,33.09152,61,Private room,https://www.airbnb.com/rooms/45242926,1,Plano
1003829399,0.0,studio,1.0,"Wonderful King Studio | Enjoy Free Breakfast, Free Wi-Fi, and an Outdoor Pool",0,3,138.454,https://odis.homeaway.com/odis/listing/029e5365-286b-467c-8659-30a860387b66.c10.jpg,0,-96.815376,33.089805,112,Entire home/apt,https://www.airbnb.com/rooms/1003829399,1,Plano
21058889,8.2,House,2.5,"SPACIOUS BRICK HOME,BEAUTIFUL NEIGHBORHOOD, A GEM!",3,8,214.636,https://a0.muscache.com/im/pictures/a0915be9-18c8-4e92-bd94-3300e4a5e84e.jpg?aki_policy=x_large,9,-96.71368000000001,33.07152,113,Entire home/apt,https://www.airbnb.com/rooms/21058889,1,Plano
42346137,9.7,Apartment,1.0,Kasa | Plano | Grand Studio Apartment,0,4,91.4731,https://a0.muscache.com/im/pictures/01d68f70-dd29-4f11-b54b-8756b8952bac.jpg?aki_policy=x_large,7,-96.82183,33.07355,123,Entire home/apt,https://www.airbnb.com/rooms/42346137,1,Plano
3464806,,House,1.5,Private bedroom in Plano home( Legacy/Custer) 1,1,2,56.0,https://a0.muscache.com/im/pictures/36f54e40-3571-4ec8-94c1-77a3b96305b1.jpg?aki_policy=x_large,0,-96.74122,33.06756,108,Private room,https://www.airbnb.com/rooms/3464806,1,Plano
13247113,9.8,House,2.0,"Central Plano - near Dallas, Frisco, Richardson",3,8,213.865,https://a0.muscache.com/im/pictures/90104a70-2668-4c68-badf-8df41fbafefd.jpg?aki_policy=x_large,54,-96.7098,33.05373,91,Entire home/apt,https://www.airbnb.com/rooms/13247113,1,Plano
33794202,9.8,House,1.0,Perfect Room for Travelers,1,2,28.487,https://a0.muscache.com/im/pictures/9c7a01a7-fa65-4079-b780-8827df968442.jpg?aki_policy=x_large,77,-96.73472,33.10089,198,Private room,https://www.airbnb.com/rooms/33794202,1,Plano
40013494,10.0,House,1.0,Females only. Second PVT BRM with with big closet,1,1,24.25,https://a0.muscache.com/im/pictures/671035a4-0e19-47f0-bc57-cfbdc214f8fc.jpg?aki_policy=x_large,3,-96.67999,33.02274,207,Private room,https://www.airbnb.com/rooms/40013494,1,Plano
39924079,10.0,House,1.0,There is a tv ; chair & dresser in the room.,1,1,34.4681,https://a0.muscache.com/im/pictures/17ca7468-5b65-4ee0-a929-c110af27be04.jpg?aki_policy=x_large,3,-96.65833,33.016420000000004,88,Private room,https://www.airbnb.com/rooms/39924079,1,Plano
17547359,10.0,Apartment,2.0,RD20-Richardson/Plano Furn. Exec. Apt. 2BD/2BA,2,4,109.48100000000001,https://a0.muscache.com/im/pictures/bfca05d6-8d26-4919-b6de-44ba5dbd37cf.jpg?aki_policy=x_large,9,-96.70381,33.000859999999996,80,Entire home/apt,https://www.airbnb.com/rooms/17547359,1,Plano
30374643,10.0,House,1.0,A comfortable room in a quiet neighborhood,1,1,31.7405,https://a0.muscache.com/im/pictures/e02dd20a-0701-4259-9364-316709f3e97b.jpg?aki_policy=x_large,17,-96.68044,33.046440000000004,163,Private room,https://www.airbnb.com/rooms/30374643,1,Plano
45673045,,Serviced apartment,2.0,Comfortable place to call home | 2BR in Plano,2,5,39.0,https://a0.muscache.com/im/pictures/763c5e67-fcfa-4e71-9bdb-a1c981061a4c.jpg?aki_policy=x_large,0,-96.75200000000001,33.024,31,Entire home/apt,https://www.airbnb.com/rooms/45673045,1,Plano
45119746,,Serviced apartment,2.0,Fully equipped apartment home | 2BR in Plano,2,5,58.0,https://a0.muscache.com/im/pictures/e05dc12d-0491-4de8-a7e4-36a95aa0284a.jpg?aki_policy=x_large,0,-96.73,33.022,31,Entire home/apt,https://www.airbnb.com/rooms/45119746,1,Plano
32840685,9.6,House,2.0,Charming home in downtown Plano!,3,9,157.042,https://a0.muscache.com/im/pictures/bb789b40-1509-4ba4-bd11-5a956b11d846.jpg?aki_policy=x_large,23,-96.6911,33.02047,271,Entire home/apt,https://www.airbnb.com/rooms/32840685,1,Plano
34717975,10.0,Apartment,2.0,LegacyWest Windrose|Corporate|2Bed|Courtyard View,2,4,137.532,https://a0.muscache.com/im/pictures/220a0ec0-4a98-4003-96e1-d8fbfe489af6.jpg?aki_policy=x_large,2,-96.82562,33.08722,306,Entire home/apt,https://www.airbnb.com/rooms/34717975,1,Plano
37595086,9.8,House,1.0,Luxurious Room and Onsite Spa,2,2,67.0,https://a0.muscache.com/im/pictures/1ddc3312-73a3-43f8-904b-d63596530173.jpg?aki_policy=x_large,12,-96.77308000000001,33.088159999999995,127,Private room,https://www.airbnb.com/rooms/37595086,1,Plano
39645291,9.5,House,1.0,Suite SLOAN in Plano West(heated Pool/Spa),1,6,40.2398,https://a0.muscache.com/im/pictures/bca59170-1887-4bde-8ff2-4178e1ab6a6c.jpg?aki_policy=x_large,25,-96.77805,33.035090000000004,277,Private room,https://www.airbnb.com/rooms/39645291,1,Plano
27703993,10.0,House,1.0,Murphy House-Single Room 2:,1,2,49.4657,https://a0.muscache.com/im/pictures/c7f16670-2afb-4e6c-9d96-23206c9a9392.jpg?aki_policy=x_large,8,-96.62453000000001,33.03747,85,Private room,https://www.airbnb.com/rooms/27703993,1,Plano
42299882,,Apartment,2.0,RD58-Cozy 1st Flr 2bed 2bth Luxury Furnished Apt,2,4,105.90899999999999,https://a0.muscache.com/im/pictures/bfca05d6-8d26-4919-b6de-44ba5dbd37cf.jpg?aki_policy=x_large,0,-96.70528,33.001129999999996,31,Entire home/apt,https://www.airbnb.com/rooms/42299882,1,Plano
35097798,10.0,House,2.0,Very Private Home w/Tennis Court in W. Plano!,2,2,176.25,https://a0.muscache.com/im/pictures/0d5b82f1-cd6c-4af5-99dd-80aa34d374e6.jpg?aki_policy=x_large,6,-96.75398,33.0442,151,Private room,https://www.airbnb.com/rooms/35097798,1,Plano
45119973,,Serviced apartment,1.0,A home you will love | 1BR in Richardson,1,3,55.0,https://a0.muscache.com/im/pictures/f53464a2-c11e-47d4-a41b-7581219d8594.jpg?aki_policy=x_large,0,-96.706,33.001999999999995,31,Entire home/apt,https://www.airbnb.com/rooms/45119973,1,Plano
14963423,6.7,House,1.0,Beautiful quiet house in Plano,1,1,60.0,https://a0.muscache.com/im/pictures/154595b5-4a48-4376-b365-e0ad13241a53.jpg?aki_policy=x_large,3,-96.75958,33.0851,238,Private room,https://www.airbnb.com/rooms/14963423,1,Plano
41029286,10.0,House,1.5,Furnished room on the second floor with closet.,1,1,31.5289,https://a0.muscache.com/im/pictures/8c657f8a-8fba-43e2-b17b-465887adbb30.jpg?aki_policy=x_large,4,-96.64128000000001,33.0327,127,Private room,https://www.airbnb.com/rooms/41029286,1,Plano
17552868,9.9,House,2.0,Spacious & Comfy Home for Longer-Term Month+ Stays,3,6,237.773,https://a0.muscache.com/im/pictures/miso/Hosting-17552868/original/af46cce1-74dd-4f1c-be6c-a595c1ee7f99.jpeg?aki_policy=x_large,28,-96.70669000000001,33.07485,67,Entire home/apt,https://www.airbnb.com/rooms/17552868,1,Plano
1003945706,0.0,house,2.5,3 Bedroom / 2.5 Bath - Fully Furnished Home - TCH,3,6,182.778,https://odis.homeaway.com/odis/listing/d49d01e2-1a5c-43fc-99a9-784e848e56df.c10.jpg,0,-96.75364312,33.00991191,131,Entire home/apt,https://www.airbnb.com/rooms/1003945706,1,Plano
39172531,9.7,House,1.0,"Females Only, Nice Large Bedroom, comfy and safe",1,1,31.5648,https://a0.muscache.com/im/pictures/635e21ea-ae89-4620-a842-488e7f76ee5f.jpg?aki_policy=x_large,6,-96.77596,33.02511,265,Private room,https://www.airbnb.com/rooms/39172531,1,Plano
37567071,9.9,House,1.0,Quiet little house located near downtown Plano!,1,2,34.4724,https://a0.muscache.com/im/pictures/839a864e-a1c4-4251-8b0f-f3d811837f34.jpg?aki_policy=x_large,26,-96.65755,33.0148,163,Private room,https://www.airbnb.com/rooms/37567071,1,Plano
30900295,10.0,House,1.0,Contemporary home in Allen off 121,1,2,504.211,https://a0.muscache.com/im/pictures/9865ff7d-256e-425d-98f1-e322f9cdf531.jpg?aki_policy=x_large,1,-96.73402,33.10672,202,Private room,https://www.airbnb.com/rooms/30900295,1,Plano
45119774,,Serviced apartment,1.0,Fully equipped apartment home | 2BR in Plano,2,5,58.0,https://a0.muscache.com/im/pictures/e66bbfa1-2436-4fb3-88c9-451455708ca3.jpg?aki_policy=x_large,0,-96.73,33.022,31,Entire home/apt,https://www.airbnb.com/rooms/45119774,1,Plano
31224278,9.5,House,3.0,Private & Modern Home near Downtown Plano,4,8,186.08,https://a0.muscache.com/im/pictures/322c3619-7972-48ec-8f2a-188efbaef411.jpg?aki_policy=x_large,57,-96.68964,33.02606,252,Entire home/apt,https://www.airbnb.com/rooms/31224278,1,Plano
14953136,9.4,House,2.0,"Private Bedroom Near Freeway, Restaurants/Shopping",1,2,24.6918,https://a0.muscache.com/im/pictures/317330fc-64e0-4332-a666-e190ccdd36ab.jpg?aki_policy=x_large,7,-96.70966,33.04518,91,Private room,https://www.airbnb.com/rooms/14953136,1,Plano
24279971,10.0,House,1.0,Auntie Pie''s B&B,1,2,43.4789,https://a0.muscache.com/im/pictures/5f0419fb-f1fc-4d6f-a79f-03a6b6c7eb8a.jpg?aki_policy=x_large,56,-96.73914,33.02685,258,Private room,https://www.airbnb.com/rooms/24279971,1,Plano
42493059,9.3,Apartment,1.0,"Luxury One Bedroom APT In Legacy West, Plano TX",1,2,88.3461,https://a0.muscache.com/im/pictures/54e2c75f-6406-4f46-afb8-d886d9bb27e5.jpg?aki_policy=x_large,3,-96.82677,33.0877,100,Entire home/apt,https://www.airbnb.com/rooms/42493059,1,Plano
41811775,10.0,Apartment,2.0,LegacyWest|Corporate|2Bed|Courtyard View,2,4,186.283,https://a0.muscache.com/im/pictures/dd92d039-0280-4aed-88cd-9e79aa0d818e.jpg?aki_policy=x_large,2,-96.82791999999999,33.080940000000005,82,Entire home/apt,https://www.airbnb.com/rooms/41811775,1,Plano
1003147636,0.0,apartment,1.0,Legacy West|Corporate|1 Bedroom|Pool View,1,2,132.86,https://odis.homeaway.com/odis/listing/643b16ce-fcf0-4c0d-be8a-ff9e8bcb628e.c10.jpg,0,-96.82835528,33.08418982,157,Entire home/apt,https://www.airbnb.com/rooms/1003147636,1,Plano
32894488,7.9,Apartment,1.0,Legacy West|Corporate|1 Bedroom|Pool View,1,2,138.389,https://a0.muscache.com/im/pictures/9c978e13-f0ef-4354-8712-0f0de1c9edfa.jpg?aki_policy=x_large,4,-96.82599,33.08278,78,Entire home/apt,https://www.airbnb.com/rooms/32894488,1,Plano
45653696,,Loft,2.5,Legacy West Luxury SkyView Loft + Free Rental Car,2,4,323.66700000000003,https://a0.muscache.com/im/pictures/cf58f537-674e-4fff-b574-5da810d99f24.jpg?aki_policy=x_large,0,-96.82611,33.086890000000004,31,Entire home/apt,https://www.airbnb.com/rooms/45653696,1,Plano
