airbnb_property_id,rating,days_available,bathrooms,title,bedrooms,accommodates,img_cover,reviews,longitude,latitude,adr,property_type,room_type,airbnb_url,active_listing,market
29460852,10.0,128,1.0,Clean New 1BR in a quite safe Neighborhood,1,2,https://a0.muscache.com/im/pictures/e341b1d5-694a-44e6-82d9-c4bf0acfaa37.jpg?aki_policy=x_large,9,-96.75081,33.2085,41.1029,House,Private room,https://www.airbnb.com/rooms/29460852,1,McKinney
29474166,10.0,182,1.0,"❤️Clean, Quiet Room B w/ SmartTV & WiFi❤️",1,2,https://a0.muscache.com/im/pictures/8c62863e-7fa3-4d8d-807f-5357ed865c54.jpg?aki_policy=x_large,11,-96.75671,33.19519,38.1295,House,Private room,https://www.airbnb.com/rooms/29474166,1,McKinney
18104270,9.5,227,2.0,Family Friendly Craftsman Near Historic Downtown,4,8,https://a0.muscache.com/im/pictures/50803057-3f9c-4f06-a46c-71141e4cffc3.jpg?aki_policy=x_large,103,-96.62001,33.19409,183.91,House,Entire home/apt,https://www.airbnb.com/rooms/18104270,1,McKinney
43952543,9.0,64,2.0,Texas Corporate Housing Solutions Professional Apt,3,7,https://a0.muscache.com/im/pictures/160299ee-ab41-4936-99ab-af7ab0f50b60.jpg?aki_policy=x_large,4,-96.71841,33.1399,180.083,Apartment,Entire home/apt,https://www.airbnb.com/rooms/43952543,1,McKinney
32895242,9.1,169,1.0,Craig Ranch | Corporate | Delightful 1BR apartment,1,2,https://a0.muscache.com/im/pictures/7d62aeec-c347-4f96-8f17-5193f2dabe3d.jpg?aki_policy=x_large,7,-96.70997,33.13779,117.194,Apartment,Entire home/apt,https://www.airbnb.com/rooms/32895242,1,McKinney
29708304,9.4,268,1.0,|| Blue Bungalow || Adorable Downtown McKinney,2,6,https://a0.muscache.com/im/pictures/b8341c42-4edb-4176-b906-49af7fa3ddc5.jpg?aki_policy=x_large,90,-96.62234,33.19935,169.391,Bungalow,Entire home/apt,https://www.airbnb.com/rooms/29708304,1,McKinney
45738463,,31,2.0,Texas Corporate Housing Solutions Professional Apt,3,7,https://a0.muscache.com/im/pictures/7b54b74f-af40-4435-b213-82ab5a4f6fe7.jpg?aki_policy=x_large,0,-96.71857,33.13844,185.422,Apartment,Entire home/apt,https://www.airbnb.com/rooms/45738463,1,McKinney
42912790,8.7,53,2.5,"Quiet, Relaxed Farm Stay Getaway in McKinney Texas",2,10,https://a0.muscache.com/im/pictures/85c9e60c-6a1f-4aa0-b0b1-fac23391207d.jpg?aki_policy=x_large,3,-96.58178,33.22374,211.5,Farm stay,Entire home/apt,https://www.airbnb.com/rooms/42912790,1,McKinney
26846978,9.8,251,2.0,A home away from home,4,10,https://a0.muscache.com/im/pictures/89bf75ca-a670-4e48-b944-e91e8d1e75ad.jpg?aki_policy=x_large,40,-96.64414,33.2291,247.596,House,Entire home/apt,https://www.airbnb.com/rooms/26846978,1,McKinney
37087082,9.8,101,2.0,"Beautiful single story house, deck, pool & spa",3,6,https://a0.muscache.com/im/pictures/94c93b27-9241-4958-92b2-7132bb313c64.jpg?aki_policy=x_large,30,-96.65555,33.1767,151.024,House,Entire home/apt,https://www.airbnb.com/rooms/37087082,1,McKinney
43818323,9.8,92,2.5,Entire New Built Townhouse . Fully furnished 3 BR,3,7,https://a0.muscache.com/im/pictures/9a665b14-bf5d-4422-96c6-18bb42440f11.jpg?aki_policy=x_large,10,-96.64313,33.20974,152.533,Condominium,Entire home/apt,https://www.airbnb.com/rooms/43818323,1,McKinney
29791321,9.3,24,1.0,Bluebonnet,0,5,https://a0.muscache.com/im/pictures/e6aa5cc8-f379-4e1d-aa6a-fdc899cc54e7.jpg?aki_policy=x_large,17,-96.62346,33.20658,115.071,Apartment,Entire home/apt,https://www.airbnb.com/rooms/29791321,1,McKinney
1003893098,10.0,181,1.0,The Rustic Farm House with a Touch of Modern Charm sits on 79 acres.,2,6,https://odis.homeaway.com/odis/listing/79c34c9b-e4c4-4bd9-9389-d85219e67559.c10.jpg,8,-96.5881550912933,33.2280037105877,152.941,Farmhouse,Entire home/apt,https://www.airbnb.com/rooms/1003893098,1,McKinney
39483147,10.0,257,1.5,"Large, Pristine Qn room in new subdivision",1,3,https://a0.muscache.com/im/pictures/4de10918-9e1c-4511-a2c9-47247602a9f6.jpg?aki_policy=x_large,9,-96.70499,33.15087,45.6782,House,Private room,https://www.airbnb.com/rooms/39483147,1,McKinney
42344933,10.0,215,1.0,McKinney Luxury Stonebridge Ranch - Entire Space,2,4,https://a0.muscache.com/im/pictures/cb2a0fda-f9e1-45b6-9dda-5cb182930b36.jpg?aki_policy=x_large,3,-96.72949,33.18127,164.141,Serviced apartment,Entire home/apt,https://www.airbnb.com/rooms/42344933,1,McKinney
27992947,10.0,30,2.0,Country Retreat - Sand Creek Farm,3,8,https://a0.muscache.com/im/pictures/544f84dd-5222-49b1-bc9b-202b7bcf24f8.jpg?aki_policy=x_large,3,-96.64259,33.28912,197.778,Farm stay,Entire home/apt,https://www.airbnb.com/rooms/27992947,1,McKinney
38881652,9.3,92,1.0,Sunnyside Time to Sleep and Relax,1,2,https://a0.muscache.com/im/pictures/8855acc4-9c2d-49e5-a88a-4248a90f0fbf.jpg?aki_policy=x_large,3,-96.66771,33.1607,53.5714,House,Private room,https://www.airbnb.com/rooms/38881652,1,McKinney
