airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,days_available,room_type,url,active_listing,city,listing_date,description
41647596.0,10.0,House,2.0,Two for One-Main House & Guest House for up to 10,4,10.0,249.0,https://a0.muscache.com/im/pictures/0ebfc335-a0e6-4672-b039-4e1e9696c11e.jpg?aki_policy=x_large,4.0,,-96.8697,32.73567,,179.0,Entire home/apt,https://www.airbnb.com/rooms/41647596,1.0,Dallas,,
34000242.0,9.9,Tiny house,1.0,Your Own Private Tiny House In the Heart of Dallas,1,3.0,72.0,https://a0.muscache.com/im/pictures/d405c585-b065-4bfe-8a50-ac8036959dcb.jpg?aki_policy=x_large,188.0,,-96.75549,32.80542,,317.0,Entire home/apt,https://www.airbnb.com/rooms/34000242,1.0,Dallas,,
24945192.0,8.8,Apartment,2.0,Live Like A Local * Pool * Uptown * Oak Lawn * HP,2,7.0,127.0,https://a0.muscache.com/im/pictures/41693fb2-6004-4a41-ac10-e6d96e8d0ac2.jpg?aki_policy=x_large,57.0,,-96.82341,32.83421,,124.0,Entire home/apt,https://www.airbnb.com/rooms/24945192,0.0,Dallas,,
30098891.0,10.0,Apartment,2.0,"⭐️DISCOUNT Beautiful Apartment, Amazing Location⭐️",2,6.0,202.0,https://a0.muscache.com/im/pictures/a7e060c7-c906-4d57-a053-8d1f82d0f984.jpg?aki_policy=x_large,3.0,,-96.80037,32.80885,,149.0,Entire home/apt,https://www.airbnb.com/rooms/30098891,1.0,Dallas,,
18774491.0,9.8,Guesthouse,1.0,Private White Rock Lake Cottage,1,2.0,63.0,https://a0.muscache.com/im/pictures/bed9e30a-cdd3-4240-8ca1-f9c7ee738b88.jpg?aki_policy=x_large,208.0,,-96.73474,32.821870000000004,,325.0,Entire home/apt,https://www.airbnb.com/rooms/18774491,1.0,Dallas,,
32637974.0,9.3,Apartment,1.0,Heavenly One Bed on Elm Street,1,3.0,109.0,https://a0.muscache.com/im/pictures/beaaba48-fe8c-468c-90e5-8824dd870499.jpg?aki_policy=x_large,3.0,,-96.79801,32.78314,,262.0,Entire home/apt,https://www.airbnb.com/rooms/32637974,1.0,Dallas,,
15868576.0,9.6,Condominium,1.0,Dallas Designer Condo,1,2.0,104.0,https://a0.muscache.com/im/pictures/0de35c3d-0287-4c0a-bfa6-5112d17b5829.jpg?aki_policy=x_large,19.0,,-96.76223,32.85061,,57.0,Entire home/apt,https://www.airbnb.com/rooms/15868576,1.0,Dallas,,
39523646.0,,Apartment,1.0,"Walk Score is 96! , FREE PARKING, AIRBNB DOWNTOWN",1,4.0,136.0,https://a0.muscache.com/im/pictures/7b51338a-ff55-4e35-ab43-c9a0e0e1b12b.jpg?aki_policy=x_large,0.0,,-96.80052,32.781859999999995,,118.0,Entire home/apt,https://www.airbnb.com/rooms/39523646,1.0,Dallas,,
35198539.0,,Townhouse,1.0,The Casa Castle,1,2.0,41.0,https://a0.muscache.com/im/pictures/e83d72f3-d2cc-4bee-8c5d-d3544be8c21c.jpg?aki_policy=x_large,0.0,,-96.82451,32.82432,,55.0,Private room,https://www.airbnb.com/rooms/35198539,1.0,Dallas,,
33588236.0,10.0,Guesthouse,1.0,Happy Trails + Luxury Carriage House Apartment,0,4.0,66.0,https://a0.muscache.com/im/pictures/b2dae9ee-ed6d-4aae-af8a-2b8116ea634c.jpg?aki_policy=x_large,25.0,,-96.74547,32.84841,,180.0,Entire home/apt,https://www.airbnb.com/rooms/33588236,1.0,Dallas,,
43778024.0,,Condominium,1.0,Beautiful downtown high rise Available NOW!,1,2.0,249.0,https://a0.muscache.com/im/pictures/2e92cea3-5b7f-479c-91de-1707836d16d6.jpg?aki_policy=x_large,0.0,,-96.79535,32.78459,,30.0,Entire home/apt,https://www.airbnb.com/rooms/43778024,1.0,Dallas,,
26384616.0,10.0,Apartment,2.0,⭐️⭐️ Uptown 2 bedroom + den Super Comfortable ⭐️⭐️,3,8.0,192.0,https://a0.muscache.com/im/pictures/261c5f52-2207-4f99-a738-a27e89f58b68.jpg?aki_policy=x_large,5.0,,-96.78725,32.8155,,160.0,Entire home/apt,https://www.airbnb.com/rooms/26384616,1.0,Dallas,,
31201856.0,,Apartment,1.0,⭐️⭐️⭐️⭐️⭐️MEDICAL DISTRICT / Market Center / DART,1,4.0,100.0,https://a0.muscache.com/im/pictures/9e3507b7-1c13-4ee8-8855-245733aceb16.jpg?aki_policy=x_large,0.0,,-96.83038,32.81043,,34.0,Entire home/apt,https://www.airbnb.com/rooms/31201856,1.0,Dallas,,
22034800.0,9.3,Condominium,1.0,LOOK! Modern Condo in North Dallas for one guest,1,1.0,35.0,https://a0.muscache.com/im/pictures/a5fcdb3f-bd69-4bbc-b70b-193a3771bfa3.jpg?aki_policy=x_large,92.0,,-96.72774,32.9099,,281.0,Private room,https://www.airbnb.com/rooms/22034800,1.0,Dallas,,
30538161.0,8.8,Apartment,1.0,Pent House by the Galleria Mall,1,2.0,71.0,https://a0.muscache.com/im/pictures/39befa4d-9104-47c2-b0f4-84bab8175152.jpg?aki_policy=x_large,8.0,,-96.81651,32.93274,,138.0,Entire home/apt,https://www.airbnb.com/rooms/30538161,1.0,Dallas,,
19807472.0,,Apartment,1.0,Dreamy One Bedroom at The Mayflower,1,4.0,118.0,https://a0.muscache.com/im/pictures/8b544acc-f8d6-449e-b0b0-57ef9ae3ea5f.jpg?aki_policy=x_large,0.0,,-96.80161,32.7838,,295.0,Entire home/apt,https://www.airbnb.com/rooms/19807472,1.0,Dallas,,
42434158.0,10.0,Guest suite,1.0,Classic Master Suite Full of Charm Near Swiss Ave!,1,2.0,43.0,https://a0.muscache.com/im/pictures/5af32222-1a85-4647-b08d-8e240585bf0c.jpg?aki_policy=x_large,5.0,,-96.75759,32.80631,,86.0,Entire home/apt,https://www.airbnb.com/rooms/42434158,1.0,Dallas,,
18841813.0,10.0,Guest suite,1.0,Private 2-Bedroom Apt in Historic District,2,4.0,172.0,https://a0.muscache.com/im/pictures/89804fd1-c64e-4095-bc19-23af3fd817da.jpg?aki_policy=x_large,9.0,,-96.77086,32.799170000000004,,68.0,Entire home/apt,https://www.airbnb.com/rooms/18841813,1.0,Dallas,,
43195002.0,0.0,Apartment,2.0,Downtown Dallas New Wonderful 2BR Apartment,2,6.0,128.0,https://a0.muscache.com/im/pictures/25888655-a45a-47a1-a614-f8305f333c8a.jpg?aki_policy=x_large,0.0,,-96.79669,32.779,1962680vb,29.0,Entire home/apt,https://www.airbnb.com/rooms/43195002,1.0,Dallas,,
28907223.0,9.8,House,1.0,The Rest Stop,1,2.0,63.0,https://a0.muscache.com/im/pictures/3eae0a71-4259-43e8-9b56-95d076648032.jpg?aki_policy=x_large,35.0,,-96.84287,32.743959999999994,,190.0,Private room,https://www.airbnb.com/rooms/28907223,1.0,Dallas,,
1004245276.0,0.0,Studio,1.0,"New, Never Lived In Studio Available ASAP! Washer/Dryer In Unit",0,2.0,59.0,https://odis.homeaway.com/odis/listing/90fa1835-a751-4deb-8198-b9d7151cbcd0.c10.jpg,0.0,9439555,-96.8658089,32.99851481,,49.0,Entire home/apt,https://www.airbnb.com/rooms/1004245276,0.0,Dallas,,
37328736.0,10.0,Townhouse,3.0,long term |Chic | Highland Park Adjacent,3,8.0,240.0,https://a0.muscache.com/im/pictures/54a75d50-f5a1-49d6-9963-39085f3dacd3.jpg?aki_policy=x_large,13.0,,-96.81224,32.82215,,220.0,Entire home/apt,https://www.airbnb.com/rooms/37328736,1.0,Dallas,,
39320904.0,9.5,House,2.0,Luxury Getaway Made Simple!,2,9.0,159.0,https://a0.muscache.com/im/pictures/a1b2d89d-bc42-4494-8a08-220fea60e131.jpg?aki_policy=x_large,27.0,,-96.82727,32.75584,1797633vb,259.0,Entire home/apt,https://www.airbnb.com/rooms/39320904,1.0,Dallas,,
27170858.0,9.6,Guesthouse,1.0,Quaint Cottage Near Dallas Hotspots,1,2.0,62.0,https://a0.muscache.com/im/pictures/74391c2b-e1a9-4e82-a563-fd0727f3497e.jpg?aki_policy=x_large,43.0,,-96.74942,32.845490000000005,,236.0,Entire home/apt,https://www.airbnb.com/rooms/27170858,1.0,Dallas,,
43110961.0,9.3,Apartment,1.0,Stylish Luxe - Corporate Stay,1,4.0,75.0,https://a0.muscache.com/im/pictures/206246ed-3fef-4d85-8778-e6cc8cf48826.jpg?aki_policy=x_large,3.0,,-96.7625,32.8841,,83.0,Entire home/apt,https://www.airbnb.com/rooms/43110961,1.0,Dallas,,
38029653.0,,Apartment,1.0,Day One | Ultra Modern 1br | Dallas 4,1,2.0,130.0,https://a0.muscache.com/im/pictures/2a794f5c-c2a9-4c6f-9e45-99217c52e0f7.jpg?aki_policy=x_large,0.0,,-96.81167,32.789190000000005,,51.0,Entire home/apt,https://www.airbnb.com/rooms/38029653,0.0,Dallas,,
27466394.0,9.6,Apartment,1.0,Dallas Multi-unit building,1,3.0,206.0,https://a0.muscache.com/im/pictures/e010a130-7504-4684-9824-05e15cfd63cd.jpg?aki_policy=x_large,31.0,,-96.8005,32.78193,,263.0,Entire home/apt,https://www.airbnb.com/rooms/27466394,1.0,Dallas,,
34338840.0,,Apartment,1.0,5-minute walk from the Walnut Hill DART Station,1,4.0,126.0,https://a0.muscache.com/im/pictures/5be1e8c7-36dc-44f1-9dd0-a2f09dc12f2f.jpg?aki_policy=x_large,0.0,,-96.75854,32.88304,,47.0,Entire home/apt,https://www.airbnb.com/rooms/34338840,1.0,Dallas,,
1003748757.0,0.0,Apartment,1.0,JURNY | West Village | Stunning 1bd in Uptown,1,4.0,96.0,https://odis.homeaway.com/odis/listing/4da39def-9428-456d-8aef-1898450d3e95.c10.jpg,0.0,1768157vb,-96.79047861,32.79834409,,214.0,Entire home/apt,https://www.airbnb.com/rooms/1003748757,1.0,Dallas,,
38044174.0,,Apartment,1.0,$100 gift card BOOK TODAY Amazing Price $100 gift,1,4.0,141.0,https://a0.muscache.com/im/pictures/61d86612-476b-42c9-99ae-bae6b31f811c.jpg?aki_policy=x_large,0.0,,-96.79687,32.80983,,165.0,Entire home/apt,https://www.airbnb.com/rooms/38044174,1.0,Dallas,,
18583601.0,10.0,Apartment,1.0,Business / Corporate Travelers,1,4.0,92.0,https://a0.muscache.com/im/pictures/bd1f4556-f64f-490a-9eca-b83f4179b4c6.jpg?aki_policy=x_large,6.0,,-96.78994,32.78788,,5.0,Entire home/apt,https://www.airbnb.com/rooms/18583601,1.0,Dallas,,
28554939.0,9.9,Townhouse,2.0,"East Dallas Stunner-4 blks from Baylor,Scott,White",2,4.0,261.0,https://a0.muscache.com/im/pictures/9e1a2387-2ef0-46c9-90dd-e5a007594fed.jpg?aki_policy=x_large,14.0,,-96.77204,32.79143,,143.0,Entire home/apt,https://www.airbnb.com/rooms/28554939,1.0,Dallas,,
14874622.0,9.8,Apartment,1.0,Walkable Luxury Comfort Bishop Arts ★ Near It all,2,6.0,125.0,https://a0.muscache.com/im/pictures/b89d3032-4dbd-4dd4-9e65-b781547be481.jpg?aki_policy=x_large,249.0,,-96.828,32.751999999999995,4505548,358.0,Entire home/apt,https://www.airbnb.com/rooms/14874622,1.0,Dallas,,
39774996.0,,Apartment,1.0,Uptown Dallas Routh street,1,3.0,239.0,https://a0.muscache.com/im/pictures/9dd23ef2-49af-4344-adcb-0201f3f7f890.jpg?aki_policy=x_large,1.0,,-96.80643,32.79971,,152.0,Entire home/apt,https://www.airbnb.com/rooms/39774996,1.0,Dallas,,
29345454.0,10.0,House,1.0,Gorgeous Master Suite - 5 min from downtown,1,2.0,59.0,https://a0.muscache.com/im/pictures/5ec8999b-ee48-4c73-9954-3ab8e421716f.jpg?aki_policy=x_large,1.0,,-96.74281,32.78532,,199.0,Private room,https://www.airbnb.com/rooms/29345454,1.0,Dallas,,
14553499.0,8.8,Apartment,1.0,"Prime Location, Cozy & Comfy",1,3.0,82.0,https://a0.muscache.com/im/pictures/c4644681-5603-42db-a99d-ca9ceddb89a1.jpg?aki_policy=x_large,166.0,,-96.77027,32.79654,1482585vb,175.0,Entire home/apt,https://www.airbnb.com/rooms/14553499,1.0,Dallas,,
37254269.0,9.3,Apartment,1.5,Sublease: Spacious Uptown Dallas Townhome w/garage,1,4.0,83.0,https://a0.muscache.com/im/pictures/ee2af5a8-7da4-4bf9-9f3b-4412ab794cd7.jpg?aki_policy=x_large,3.0,,-96.79692,32.79656,,107.0,Entire home/apt,https://www.airbnb.com/rooms/37254269,1.0,Dallas,,
42723164.0,8.0,Apartment,1.0,VinylVilla Retreat,1,2.0,75.0,https://a0.muscache.com/im/pictures/751339e0-5299-4966-8629-29c0faa501fb.jpg?aki_policy=x_large,5.0,,-96.77607,32.80405,9413837,121.0,Entire home/apt,https://www.airbnb.com/rooms/42723164,1.0,Dallas,,
37660543.0,7.7,Apartment,2.0,"Sunny, Pool View, King Bed Suite w/Gym & Parking",2,5.0,116.0,https://a0.muscache.com/im/pictures/02091d56-8717-437c-8324-b84e3a7ffe59.jpg?aki_policy=x_large,28.0,,-96.81816,32.81855,,248.0,Entire home/apt,https://www.airbnb.com/rooms/37660543,1.0,Dallas,,
36913877.0,7.3,House,2.0,"R02. Lowest Cost Private Room, Single guest only !",1,1.0,27.0,https://a0.muscache.com/im/pictures/2f65e539-9c79-44da-b62e-333235f97050.jpg?aki_policy=x_large,3.0,,-96.747,32.671,,152.0,Private room,https://www.airbnb.com/rooms/36913877,1.0,Dallas,,
27631067.0,,Apartment,2.0,⭐️Uptown West Village Beautiful Amazing Location⭐️,2,6.0,204.0,https://a0.muscache.com/im/pictures/f6425478-ed4c-4e0d-9993-9175b93eb500.jpg?aki_policy=x_large,0.0,,-96.8006,32.80706,,228.0,Entire home/apt,https://www.airbnb.com/rooms/27631067,1.0,Dallas,,
21041697.0,9.8,House,1.0,Private Bed/Bath/Entertainment Room in Dallas,2,4.0,65.0,https://a0.muscache.com/im/pictures/c7a04a52-dee9-4642-8bb2-3151988a2603.jpg?aki_policy=x_large,25.0,,-96.65931,32.77587,,23.0,Private room,https://www.airbnb.com/rooms/21041697,1.0,Dallas,,
31991291.0,9.0,Apartment,2.0,2 Bed 2 Bath Flat-In the Heart of Oaklawn!,2,4.0,119.0,https://a0.muscache.com/im/pictures/ce0abb2e-f018-4307-b2dc-ccdc73e14b47.jpg?aki_policy=x_large,30.0,,-96.80785,32.81409,,257.0,Entire home/apt,https://www.airbnb.com/rooms/31991291,1.0,Dallas,,
20673333.0,9.5,Condominium,1.0,Oaklawn Studio - Medical District,0,2.0,65.0,https://a0.muscache.com/im/pictures/e86c5b14-9e20-4ec1-b491-d76768fc1487.jpg?aki_policy=x_large,8.0,,-96.81605,32.81188,,1.0,Entire home/apt,https://www.airbnb.com/rooms/20673333,1.0,Dallas,,
11444644.0,8.7,Apartment,2.0,"Unit173 Corp 2Be/2Ba Condo,Med Dist",2,4.0,53.0,https://a0.muscache.com/im/pictures/ce45f3b7-e672-461c-9eeb-083d1759fc70.jpg?aki_policy=x_large,42.0,,-96.83068,32.817240000000005,,82.0,Entire home/apt,https://www.airbnb.com/rooms/11444644,1.0,Dallas,,
35005136.0,9.6,House,2.0,"Mixed/Co-Ed Dorm, Bed #D1 (Bottom Bunk) for Nomads",1,1.0,23.0,https://a0.muscache.com/im/pictures/8881680a-ea58-4051-9a59-c9b130b12a4e.jpg?aki_policy=x_large,16.0,,-96.82446,32.75448,,138.0,Shared room,https://www.airbnb.com/rooms/35005136,1.0,Dallas,,
21396270.0,9.4,Apartment,1.0,JURNY | Convention Center | 1bd In Prime Location,1,4.0,123.0,https://a0.muscache.com/im/pictures/810ce057-cd36-4268-9555-b28423720de6.jpg?aki_policy=x_large,111.0,,-96.79619,32.77817,1230650vb,314.0,Entire home/apt,https://www.airbnb.com/rooms/21396270,1.0,Dallas,,
29317350.0,,Condominium,2.5,2 Story Greenville Ave Townhome: Walk Everywhere!,2,6.0,128.0,https://a0.muscache.com/im/pictures/674b9b28-d18f-4d2c-ad47-16ec76e3456c.jpg?aki_policy=x_large,3.0,,-96.76967,32.81188,,15.0,Entire home/apt,https://www.airbnb.com/rooms/29317350,1.0,Dallas,,
21319896.0,9.9,Guesthouse,1.0,Historic Tree Top Carriage House,1,2.0,82.0,https://a0.muscache.com/im/pictures/1ca4e805-86a7-4f57-8d2d-acf0fdcd9a07.jpg?aki_policy=x_large,117.0,,-96.76655,32.79987,,283.0,Entire home/apt,https://www.airbnb.com/rooms/21319896,1.0,Dallas,,
17299594.0,9.7,Apartment,1.0,"Charming, Cozy 2Br in Oaklawn/Highland Park/Uptown",2,8.0,139.0,https://a0.muscache.com/im/pictures/44be77c9-0a17-46f5-9a0c-9433afdaea0a.jpg?aki_policy=x_large,164.0,,-96.80454,32.82059,,302.0,Entire home/apt,https://www.airbnb.com/rooms/17299594,1.0,Dallas,,
28694103.0,9.3,Townhouse,1.5,Private bedroom / Bathroom - No extra fee,1,2.0,54.0,https://a0.muscache.com/im/pictures/c66f6157-448f-4b93-845c-397a1fb47105.jpg?aki_policy=x_large,35.0,,-96.76935,32.81413,,149.0,Private room,https://www.airbnb.com/rooms/28694103,1.0,Dallas,,
27852742.0,9.9,Apartment,1.0,"Rejuvenate in a Fun, Contemporary Apartment on Katy Trail",1,4.0,233.0,"https://a0.muscache.com/4ea/air/v2/pictures/4401c161-09ab-4565-b8a4-4a03a7319f20.jpg?t=r:w2500-h1500-sfit,e:fjpg-c90",23.0,,-96.80832,32.792,,190.0,Entire home/apt,https://www.airbnb.com/rooms/27852742,0.0,Dallas,,
33970239.0,9.4,Serviced apartment,2.0,The Guild Uptown | Howell St | 2BR Suite,2,6.0,172.0,https://a0.muscache.com/im/pictures/c342fa15-770b-429e-b24b-2558d58ac21b.jpg?aki_policy=x_large,87.0,,-96.796,32.786,,248.0,Entire home/apt,https://www.airbnb.com/rooms/33970239,1.0,Dallas,,
16517364.0,10.0,Apartment,1.0,Nesting in the center of Uptown,1,4.0,185.0,https://a0.muscache.com/im/pictures/ca74c5b5-0f02-4a72-9b3d-92507baf7424.jpg?aki_policy=x_large,2.0,,-96.798,32.805,,58.0,Entire home/apt,https://www.airbnb.com/rooms/16517364,1.0,Dallas,,
43294595.0,9.8,House,1.0,Grecco King Suite w/ Private Bathroom,1,2.0,41.0,https://a0.muscache.com/im/pictures/2d9da9d6-b00e-4703-9157-dd5ec9f93cd2.jpg?aki_policy=x_large,9.0,,-96.8657,32.7247,,42.0,Private room,https://www.airbnb.com/rooms/43294595,1.0,Dallas,,
38699064.0,9.7,Serviced apartment,1.0,The Guild Victory Park | Katy Trail | 1BR Suite,1,4.0,193.0,https://a0.muscache.com/im/pictures/d0dd459b-312a-4709-ad5b-a0c34901a1a7.jpg?aki_policy=x_large,13.0,,-96.8137,32.79475,1915831vb,253.0,Entire home/apt,https://www.airbnb.com/rooms/38699064,1.0,Dallas,,
1004228954.0,0.0,Apartment,1.0,Regal Stays|Corporate Apartment|Prime Location|Downtown Dallas,1,4.0,82.0,https://odis.homeaway.com/odis/listing/e50315ab-ef28-4336-a076-881505c990cc.c10.jpg,0.0,9423613,-96.7952063,32.77793,,66.0,Entire home/apt,https://www.airbnb.com/rooms/1004228954,0.0,Dallas,,
28265781.0,10.0,Apartment,1.0,KING BED | FREE PARKING | GYM | POOL | W/D,1,4.0,132.0,https://a0.muscache.com/im/pictures/d637079d-46c1-48b4-886e-0b00a44a7978.jpg?aki_policy=x_large,1.0,,-96.79127,32.81466,,145.0,Entire home/apt,https://www.airbnb.com/rooms/28265781,1.0,Dallas,,
